space_id,lead_time,+1 standard,-1 standard,weekday1 timegroup1 acc,weekday1 timegroup2 acc,weekday1 timegroup3 acc,weekday1 timegroup4 acc,weekday2 timegroup1 acc,weekday2 timegroup2 acc,weekday2 timegroup3 acc,weekday2 timegroup4 acc,weekday3 timegroup1 acc,weekday3 timegroup2 acc,weekday3 timegroup3 acc,weekday3 timegroup4 acc,weekday4 timegroup1 acc,weekday4 timegroup2 acc,weekday4 timegroup3 acc,weekday4 timegroup4 acc,weekday5 timegroup1 acc,weekday5 timegroup2 acc,weekday5 timegroup3 acc,weekday5 timegroup4 acc,weekday6 timegroup1 acc,weekday6 timegroup2 acc,weekday6 timegroup3 acc,weekday6 timegroup4 acc,weekday7 timegroup1 acc,weekday7 timegroup2 acc,weekday7 timegroup3 acc,weekday7 timegroup4 acc
1,395.3396840958612,2328.093559574852,-2328.093559574852,0.03150792609361546,0.057916260493525586,0.1040800452291363,0.18000913140955957,0.031412222299444625,0.057745125328181865,0.10378752978019111,0.17954598411179234,0.031316799801071556,0.057574464941167545,0.10349574147230958,0.17908376820022662,0.031221657828732565,0.057404278197759534,0.10320467903145239,0.17862248314121046,0.031126795614423924,0.05723456396486484,0.10291434118276782,0.17816212839407464,0.027031633240362295,0.0498814010222705,0.09025433597940542,0.15787455165882983,0.02694914763294081,0.04973275449892583,0.08999677423355527,0.1574574188573831
3,407.31854677145947,2263.7101419036635,-2263.7101419036635,0.057804369079372094,0.10180884786282697,0.17315598527998435,0.27897320693471417,0.05820358825908498,0.10247892357986275,0.17420457038420717,0.28044524839275037,0.058605393101992524,0.10315290304231359,0.1752581594955744,0.281922020212409,0.05900979798042405,0.1038308023161801,0.1763167601956234,0.2834035056239662,0.05941681731361501,0.1045126374444109,0.17738037986937938,0.2848896874980467,0.046233053170244044,0.0821971708494808,0.141972956051643,0.23412992245811465,0.04655630524933444,0.08275006024839568,0.14286533308944016,0.23544260803669473
4,454.23039747950475,2317.6919800222317,-2317.6919800222317,0.044465706463393095,0.07916914460314825,0.13707174712935818,0.22688853244642299,0.04477718174429857,0.07970343510619558,0.13793826997090267,0.22817271384601076,0.04509073590186989,0.08024101718025645,0.13880938952402588,0.22946200637705585,0.04540638136485568,0.08078190685444611,0.13968511902549988,0.23075640599513447,0.04572413061596143,0.08132612017807245,0.14056547160516542,0.23205590835000456,0.03546402910488574,0.06360975153486269,0.11151061960247939,0.188231869501684,0.03571480585760582,0.06404633948756461,0.11223657039037777,0.18935084297780821
5,619.0173281068528,2230.509468234368,-2230.509468234368,0.05575808026346178,0.09836742448118929,0.1677532635833786,0.2713523634257478,0.056144009118151046,0.09901734677013806,0.16877580958012595,0.27279940675074354,0.05653244924779054,0.09967108846204635,0.1698033168303608,0.2742512623099556,0.05692341477424858,0.10032866572049821,0.17083579390277925,0.27570791520243143,0.05731691986792071,0.10099009469334135,0.17187324918257654,0.2771693501716391,0.0445770115422835,0.07936010347593522,0.13738153242419013,0.22734782634401202,0.04488922987009609,0.07989557089116017,0.13824969987822927,0.22863383855003255
6,805.8968398004957,2545.1514999955807,-2545.1514999955807,0.033171900669874785,0.05961092204944234,0.10483764225501757,0.17788696948450725,0.03340703047798714,0.06002182315663495,0.105525310551481,0.1789580033659604,0.03364376894214825,0.060435374600405996,0.10621695429430934,0.18003407363549934,0.03388212624349575,0.06085159096029034,0.10691258943497803,0.18111518697592371,0.03412211261587069,0.06127048686114722,0.10761223189529551,0.1822013498623397,0.02639339937703041,0.04769627615828106,0.0846975389995055,0.146002396440976,0.026581802670933016,0.04802924360964568,0.08526568435972287,0.14691576404182016
7,204.28818060757408,2234.8770174159295,-2234.8770174159295,0.048909088248980465,0.0867654894056547,0.1493229593209416,0.24488924123811687,0.049250084468020996,0.08734618268080321,0.15025344501857435,0.24624285527262074,0.04959333415867941,0.08793038814813521,0.15118869841252713,0.24760149797907363,0.049938850479929874,0.08851812203286395,0.15212873108458833,0.24896516096498172,0.050286646643307925,0.08910940056728571,0.15307355447877793,0.25033383550672617,0.0390446446113845,0.0698263687258899,0.12179969183449585,0.20397482829544045,0.039319708802766036,0.07030242123501555,0.12258338443277787,0.20516373547873434
8,1136.0231894045935,2550.51080080224,-2550.51080080224,0.03462395476873609,0.0737800716354076,0.15032246402660154,0.28208853553173624,0.033265894198727004,0.07099913804869945,0.14510847243143635,0.2737768141965086,0.03195933759328713,0.06831529279750814,0.1400455221766057,0.26561938528665613,0.030702467755584165,0.06572572220817714,0.1351312994576063,0.25761879252778214,0.02949352106496075,0.06322765074685198,0.13036337680037507,0.24977721905920375,0.022376242738603478,0.04837553853280417,0.10144899476071881,0.2004829858579678,0.021487883137700222,0.04650408055685666,0.09773520608577213,0.1939262493932065
9,344.623390183387,2194.6434117764325,-2194.6434117764325,0.06038657602056477,0.10613536515510676,0.1799071961796915,0.2884110522505714,0.06080247805481839,0.10683052982090037,0.18098771578706863,0.2899128700302664,0.06122105790687013,0.10752969993449274,0.1820732841894068,0.2914193054285843,0.06164233024125606,0.10823289139025126,0.18316390767648005,0.2929303393799984,0.06206630976711519,0.10894012004999448,0.18425959232566141,0.2944459524561714,0.048324864271309935,0.08576984639407112,0.14772558342019035,0.24256105119908755,0.048661995660801254,0.08634450617566836,0.148647854626069,0.24390595303353396
10,458.86376108156014,2082.801078571454,-2082.801078571454,0.04780961259630671,0.08489096058107833,0.1463134389326181,0.24049816690671244,0.04814333124989355,0.08546028225857896,0.14722841690577573,0.24183528277069388,0.048479260714280166,0.086033063134536,0.1481481237698315,0.24317745245873645,0.04881741397561378,0.08660931940373982,0.14907257154086817,0.24452466864934502,0.04915780407304129,0.08718906727144675,0.15000177210477617,0.2458769236954518,0.038158024747571226,0.06829043573831578,0.11926711483218695,0.2001229543433663,0.03842709259538985,0.0687567908096347,0.12003673945698495,0.20129508753015093
11,445.3226572668108,2039.867835905676,-2039.867835905676,0.06389683006818939,0.1119880261318429,0.18896788085426205,0.3009311091516485,0.06433525301958333,0.11271669061797396,0.19009020510023786,0.30247040969545774,0.06477647601302274,0.11344949053961342,0.19121762350376645,0.30401415979909735,0.06522051406833997,0.11418644147527852,0.19235014052869562,0.3055623373995204,0.06566738224639704,0.11492755895762492,0.19348776040592508,0.3071149200699137,0.05117215943042016,0.09061332788847871,0.15547276616345193,0.25380063854458756,0.051528079046119335,0.09121720126107452,0.1564345264120684,0.2551868635843948
