"id","space_id","open_day","close_day","open_time","close_time","created_at","updated_at"
"1624","1","1","7","06:00","23:00","9/8/2017 08:54:58","9/8/2017 08:54:58"
"1809","61","1","7","08:00","18:00","9/9/2017 10:53:16","9/9/2017 10:53:16"
"2171","106","1","7","06:00","23:00","12/12/2017 11:48:05","12/12/2017 11:48:05"
"2172","108","1","7","08:00","23:00","12/12/2017 12:00:09","12/12/2017 12:00:09"
"2175","109","1","7","08:00","23:00","12/12/2017 12:15:11","12/12/2017 12:15:11"
"2177","107","1","7","09:30","21:00","12/12/2017 12:50:10","12/12/2017 12:50:10"
"2185","13","1","7","09:30","18:00","27/12/2017 20:59:16","27/12/2017 20:59:16"
"2192","14","1","7","09:30","18:00","4/1/2018 17:30:29","4/1/2018 17:30:29"
"2203","120","1","1","00:00","00:00","7/1/2018 18:45:09","7/1/2018 18:45:09"
"2841","90","1","7","07:00","23:00","9/8/2018 01:16:04","9/8/2018 01:16:04"
"2842","91","1","7","07:00","23:00","9/8/2018 01:16:45","9/8/2018 01:16:45"
"2843","92","1","7","07:00","23:00","9/8/2018 01:17:11","9/8/2018 01:17:11"
"2844","93","1","7","07:00","23:00","9/8/2018 01:17:44","9/8/2018 01:17:44"
"2845","94","1","7","07:00","23:00","9/8/2018 01:18:04","9/8/2018 01:18:04"
"2846","95","1","7","07:00","23:00","9/8/2018 01:18:55","9/8/2018 01:18:55"
"2847","96","1","7","07:00","23:00","9/8/2018 01:19:19","9/8/2018 01:19:19"
"2848","97","1","7","07:00","23:00","9/8/2018 01:19:45","9/8/2018 01:19:45"
"2849","98","1","7","07:00","23:00","9/8/2018 01:20:03","9/8/2018 01:20:03"
"2850","99","1","7","07:00","23:00","9/8/2018 01:20:51","9/8/2018 01:20:51"
"2851","100","1","7","07:00","23:00","9/8/2018 01:21:11","9/8/2018 01:21:11"
"3079","101","1","7","08:00","22:30","15/10/2018 12:00:40","15/10/2018 12:00:40"
"3080","89","1","7","08:00","22:00","15/10/2018 12:01:23","15/10/2018 12:01:23"
"3217","102","1","7","08:00","22:30","25/10/2018 10:03:19","25/10/2018 10:03:19"
"3223","31","1","7","08:00","22:00","28/10/2018 15:26:54","28/10/2018 15:26:54"
"3224","41","1","7","08:00","22:00","28/10/2018 15:30:04","28/10/2018 15:30:04"
"3226","51","1","7","08:00","22:00","28/10/2018 15:32:13","28/10/2018 15:32:13"
"3408","4","1","7","08:00","22:30","21/11/2018 12:41:51","21/11/2018 12:41:51"
"3409","5","1","7","08:00","22:30","21/11/2018 12:41:54","21/11/2018 12:41:54"
"3472","6","1","7","08:00","22:30","20/12/2018 15:14:31","20/12/2018 15:14:31"
"3490","62","1","7","08:00","22:00","20/12/2018 15:17:26","20/12/2018 15:17:26"
"3492","63","1","7","08:00","22:00","20/12/2018 15:24:25","20/12/2018 15:24:25"
"3494","65","1","7","08:00","22:00","20/12/2018 15:24:40","20/12/2018 15:24:40"
"3496","67","1","7","08:00","22:00","20/12/2018 15:24:54","20/12/2018 15:24:54"
