"id","user_id","deleted_at","created_at","updated_at"
67,10696,"2018-10-16 09:12:20","2018-09-15 17:32:26","2018-10-16 09:12:20"
72,11161,NULL,"2018-11-26 18:59:18","2018-11-26 18:59:18"
75,11236,"2019-01-30 14:31:59","2019-01-30 14:31:30","2019-01-30 14:31:59"
70,11551,"2019-03-15 03:43:33","2018-11-08 12:34:22","2019-03-15 03:43:33"
73,14300,NULL,"2019-01-15 16:39:21","2019-01-15 16:39:21"
74,14439,"2019-05-07 17:01:22","2019-01-23 10:31:58","2019-05-07 17:01:22"
81,16144,"2019-08-21 14:53:06","2019-03-25 16:14:06","2019-08-21 14:53:06"
87,17571,NULL,"2019-11-01 15:40:12","2019-11-01 15:40:12"
83,18374,NULL,"2019-06-05 14:23:50","2019-06-05 14:23:50"
84,19331,NULL,"2019-07-03 09:50:56","2019-07-03 09:50:56"
