"id","space_id","device_info_id","created_at","updated_at"
"1262","16","14","18/9/2018 19:06:39","18/9/2018 19:06:39"
"1263","16","15","18/9/2018 19:06:39","18/9/2018 19:06:39"
"1271","19","2","18/9/2018 19:06:49","18/9/2018 19:06:49"
"1272","19","14","18/9/2018 19:06:49","18/9/2018 19:06:49"
"1273","19","15","18/9/2018 19:06:49","18/9/2018 19:06:49"
"1274","20","2","18/9/2018 19:06:52","18/9/2018 19:06:52"
"1275","20","14","18/9/2018 19:06:52","18/9/2018 19:06:52"
"1276","20","15","18/9/2018 19:06:52","18/9/2018 19:06:52"
"1284","23","2","18/9/2018 19:08:15","18/9/2018 19:08:15"
"1285","23","14","18/9/2018 19:08:15","18/9/2018 19:08:15"
"1286","23","15","18/9/2018 19:08:16","18/9/2018 19:08:16"
"1287","24","2","18/9/2018 19:08:19","18/9/2018 19:08:19"
"1288","24","10","18/9/2018 19:08:19","18/9/2018 19:08:19"
"1289","24","14","18/9/2018 19:08:19","18/9/2018 19:08:19"
"1290","24","15","18/9/2018 19:08:19","18/9/2018 19:08:19"
"1291","25","2","18/9/2018 19:08:22","18/9/2018 19:08:22"
"1292","25","10","18/9/2018 19:08:22","18/9/2018 19:08:22"
"1293","25","14","18/9/2018 19:08:22","18/9/2018 19:08:22"
"1294","25","15","18/9/2018 19:08:22","18/9/2018 19:08:22"
"1305","62","2","18/9/2018 19:08:35","18/9/2018 19:08:35"
"1306","62","10","18/9/2018 19:08:35","18/9/2018 19:08:35"
"1307","62","14","18/9/2018 19:08:35","18/9/2018 19:08:35"
"1308","62","15","18/9/2018 19:08:35","18/9/2018 19:08:35"
"1309","63","2","18/9/2018 19:08:38","18/9/2018 19:08:38"
"1310","63","14","18/9/2018 19:08:38","18/9/2018 19:08:38"
"1311","63","15","18/9/2018 19:08:38","18/9/2018 19:08:38"
"1312","64","2","18/9/2018 19:08:41","18/9/2018 19:08:41"
"1313","64","10","18/9/2018 19:08:41","18/9/2018 19:08:41"
"1314","64","14","18/9/2018 19:08:41","18/9/2018 19:08:41"
"1315","64","15","18/9/2018 19:08:41","18/9/2018 19:08:41"
"1316","65","2","18/9/2018 19:08:45","18/9/2018 19:08:45"
"1317","65","14","18/9/2018 19:08:45","18/9/2018 19:08:45"
"1318","65","15","18/9/2018 19:08:45","18/9/2018 19:08:45"
"1319","66","2","18/9/2018 19:08:48","18/9/2018 19:08:48"
"1320","66","10","18/9/2018 19:08:48","18/9/2018 19:08:48"
"1321","66","14","18/9/2018 19:08:48","18/9/2018 19:08:48"
"1322","66","15","18/9/2018 19:08:49","18/9/2018 19:08:49"
"1323","67","2","18/9/2018 19:08:52","18/9/2018 19:08:52"
"1324","67","14","18/9/2018 19:08:52","18/9/2018 19:08:52"
"1325","67","15","18/9/2018 19:08:52","18/9/2018 19:08:52"
"1330","69","2","18/9/2018 19:08:59","18/9/2018 19:08:59"
"1331","69","14","18/9/2018 19:08:59","18/9/2018 19:08:59"
"1332","69","15","18/9/2018 19:08:59","18/9/2018 19:08:59"
"1333","70","2","18/9/2018 19:09:02","18/9/2018 19:09:02"
"1334","70","14","18/9/2018 19:09:02","18/9/2018 19:09:02"
"1335","70","15","18/9/2018 19:09:02","18/9/2018 19:09:02"
"1336","71","2","18/9/2018 19:09:05","18/9/2018 19:09:05"
"1337","71","10","18/9/2018 19:09:05","18/9/2018 19:09:05"
"1338","71","14","18/9/2018 19:09:05","18/9/2018 19:09:05"
"1339","71","15","18/9/2018 19:09:06","18/9/2018 19:09:06"
"1340","72","2","18/9/2018 19:09:09","18/9/2018 19:09:09"
"1341","72","14","18/9/2018 19:09:09","18/9/2018 19:09:09"
"1342","72","15","18/9/2018 19:09:09","18/9/2018 19:09:09"
"1343","73","2","18/9/2018 19:10:33","18/9/2018 19:10:33"
"1344","73","14","18/9/2018 19:10:33","18/9/2018 19:10:33"
"1345","73","15","18/9/2018 19:10:33","18/9/2018 19:10:33"
"1346","74","2","18/9/2018 19:10:36","18/9/2018 19:10:36"
"1347","74","10","18/9/2018 19:10:36","18/9/2018 19:10:36"
"1348","74","14","18/9/2018 19:10:36","18/9/2018 19:10:36"
"1349","74","15","18/9/2018 19:10:36","18/9/2018 19:10:36"
"1350","75","2","18/9/2018 19:10:40","18/9/2018 19:10:40"
"1351","75","14","18/9/2018 19:10:40","18/9/2018 19:10:40"
"1352","75","15","18/9/2018 19:10:40","18/9/2018 19:10:40"
