id,order_id,space_id,score,can,comment,created_at,updated_at,activity,is_pay,people
3458,103674,112,7,1,佈置的很漂亮，剛開始有點悶味，冷氣開下去就好了。..隨便取景都蠻漂亮的，也很安靜。但如果錄影要收音的話回家聽會有些回音，如果介意的話就要自己重新收音。,01APR19:20:39:08,01APR19:20:39:08,3,0,2
3459,103856,102,4,1,希望有掛鉤可以掛外套或是小袋子,01APR19:21:11:02,01APR19:21:11:02,19,0,2
3460,102755,146,10,1,line客服非常好，回訊息很迅速又有幫助,01APR19:21:52:44,01APR19:21:52:44,2,1,13
3461,103879,117,8,1,如果可以有空氣清淨機就更棒了,01APR19:22:41:21,01APR19:22:41:21,19,0,2
3462,101599,165,10,1,,01APR19:23:07:16,01APR19:23:07:16,2,0,8
3463,99356,145,9,1,,02APR19:01:22:08,02APR19:01:22:08,19,0,9
3464,101297,62,10,1,,02APR19:07:43:41,02APR19:07:43:41,19,0,7
3465,98603,153,10,1,環境舒適乾淨,02APR19:08:48:29,02APR19:08:48:29,11,1,10
3466,101848,156,10,0,,02APR19:14:23:41,02APR19:14:23:41,19,1,2
3467,103634,22,1,1,會議取消,02APR19:21:54:19,02APR19:21:54:19,11,0,12
3468,103945,157,10,1,HDMI線可以再長一點好,02APR19:21:57:19,02APR19:21:57:19,19,1,6
3469,103945,157,10,1,HDMI線可以再長一點好,02APR19:21:57:20,02APR19:21:57:20,19,1,6
3470,103134,72,5,1,,03APR19:08:10:00,03APR19:08:10:00,4,0,6
3471,101560,161,8,1,採光很好，很喜歡這裡！,03APR19:08:10:29,03APR19:08:10:29,4,0,3
3472,101027,161,8,1,採光很好，很喜歡這裡！,03APR19:08:10:46,03APR19:08:10:46,4,0,3
3473,104569,102,8,0,抽屜裡的垃圾什麼時候要清啊？,03APR19:18:42:17,03APR19:18:42:17,1,0,1
3474,102115,156,8,1,環境乾淨整潔，擺設裝置也很棒..可能是新的空間，內部有很重的油漆味..建議可以裝置窗簾，覺得沒有隱私且光線強時，面向玻璃者會感到刺眼,03APR19:18:53:39,03APR19:18:53:39,6,0,2
3475,104553,119,8,1,希望加強隔音,03APR19:19:42:22,03APR19:19:42:22,18,0,1
3476,97705,131,8,0,,04APR19:09:03:57,04APR19:09:03:57,19,1,4
3477,95657,154,8,1,,04APR19:15:34:14,04APR19:15:34:14,19,1,3
3478,104674,69,10,1,,04APR19:19:20:07,04APR19:19:20:07,6,0,4
3479,103603,6,10,1,非常滿意,04APR19:19:27:58,04APR19:19:27:58,2,1,11
3480,104363,156,8,1,,04APR19:20:15:00,04APR19:20:15:00,6,1,2
3481,104574,102,9,0,抽屜垃圾可以處理一下嗎？,04APR19:21:53:29,04APR19:21:53:29,1,0,1
3482,104665,118,9,1,,04APR19:22:19:39,04APR19:22:19:39,19,0,1
3483,95978,157,7,1,螢幕聲音太小聲，反而隔壁派對?壓過我們上課跟螢幕聲音。....隔音效果不是很好,04APR19:23:45:48,04APR19:23:45:48,11,0,10
3484,103061,88,9,1,價錢建議再便宜一些會更好,04APR19:23:54:14,04APR19:23:54:14,2,0,2
3485,105179,125,7,0,,05APR19:18:34:05,05APR19:18:34:05,2,0,10
3486,101659,152,10,1,,05APR19:18:34:25,05APR19:18:34:25,6,1,2
3487,104711,150,4,1,我們在開會，樓上的用戶很吵但卻打來叫我們安靜,05APR19:18:40:27,05APR19:18:40:27,1,0,5
3488,105175,9,10,1,很棒的空間，是外出開會的好地點。,05APR19:21:47:57,05APR19:21:47:57,1,0,2
3489,105253,11,8,1,真的需要空氣清淨機和除濕機,05APR19:23:07:09,05APR19:23:07:09,7,0,2
3490,105230,76,8,1,延長加時沒辦法用點數扣，一直問我信用卡資料?,05APR19:23:08:38,05APR19:23:08:38,7,0,4
3491,105068,159,9,1,非常棒 客服也很親切 使用感受很好,06APR19:02:26:06,06APR19:02:26:06,18,0,1
3492,93396,74,10,1,,06APR19:05:52:52,06APR19:05:52:52,1,1,10
3493,93396,74,10,1,,06APR19:05:52:55,06APR19:05:52:55,1,1,10
3494,104314,159,8,1,,06APR19:08:07:58,06APR19:08:07:58,3,0,3
3495,104315,156,8,1,,06APR19:08:08:23,06APR19:08:08:23,3,0,3
3496,93206,7,1,1,施工中，太吵了，施工時要大吼才能聽到隔壁的說話,06APR19:14:27:33,06APR19:14:27:33,19,1,4
3497,105192,102,9,1,本來有點擔心隔音不好，不過當天可能隔壁沒人，環境很安靜也很乾淨，網路很順。,06APR19:18:46:52,06APR19:18:46:52,18,0,1
